44041116+18316898j, -15280866+25968928j, -30990341+30546917j, 12704360+-7536642j, -37310920+44298535j, -27617617+-9117367j, -28602864+-4609270j, 18771671+-4844173j, 22633355+-13699459j, -19759328+-19034172j, 29471915+26726814j, 12133999+-13348017j, -8657382+1853612j, 32708073+4015579j, -37827176+9264006j, -25493044+8462048j, 
-10815155+-45534888j, 30638125+-2625335j, -5970285+11432351j, 859195+17909698j, 507813+-23228537j, 25654411+21194301j, 20151646+29916025j, -9043748+8046705j, 11428346+2342439j, -20346505+25336904j, 18878531+3119534j, -33123+-48637484j, -22060563+31583408j, -9991122+50960797j, 18192486+-11121900j, 25755175+11151516j, 
9280042+10936387j, 11115373+20777678j, 12378970+33271058j, 12780702+-21361538j, 62522287+-10367884j, -3462472+-9860360j, 21144975+-26350591j, -17001943+17540793j, 25688775+13679272j, 11442924+-6962135j, 6014597+1894247j, 19789945+19843308j, -18828895+-12808862j, 15856520+-31728321j, -1943398+3575168j, 4335440+4340822j, 
-17143891+10546108j, -114909+35167970j, 22948770+-10024142j, -329707+20003573j, -20398200+23293534j, -5640656+1975660j, 11039467+36712331j, -20584904+4487254j, 28364407+-17108146j, -44934408+18846534j, 17154998+6152157j, 24903961+-20312248j, 9342730+10922480j, -4575037+8594994j, -12753848+18883456j, 9821194+25051389j, 
35168259+-33179287j, 7964587+36598593j, 10505096+-39981535j, 18638311+18833657j, 21104818+17502138j, -34981163+38165923j, 27417766+1524416j, -14178480+18602096j, -5327917+-27065758j, 23133321+-5950368j, -19172449+-5474989j, -11915568+-35741811j, -4015747+-17399094j, 30002912+21290606j, -31722401+15856013j, 18451554+12189327j, 
19067048+16021445j, 29785439+-35517929j, -9644985+-39330287j, -2527506+12664909j, 9648491+5028119j, 20681220+-8015281j, 32563860+-24994442j, 17293986+15600778j, -2925448+16632023j, -9558669+9545912j, 21432875+8695274j, 9072665+5041422j, 12846046+-14763400j, 22356575+41437861j, 11600324+-36966428j, 27076480+-26003027j, 
27503866+-35705448j, 8145256+41619753j, 9698320+6076276j, 48008232+-26606652j, 10629228+-37512681j, -20863620+14846537j, 18730023+-6532602j, 1594054+49849992j, 40447990+12621056j, 24705702+19598240j, -2570214+-44282063j, 4302234+-182272j, -50712249+-21920307j, 52766929+-11805527j, 10360717+16322245j, 43906469+19741078j, 
-26557726+25133688j, -13760806+-34097181j, 9694102+-20046881j, 3853125+22792938j, -23584158+15827581j, 9878086+-9667749j, 15587205+-28841830j, -24496233+14289708j, -12785892+4196820j, 6809257+39179377j, -11470325+28328328j, -31454402+19733346j, 2942229+-2200601j, -35533536+-18547302j, 30303272+-11759674j, 9656463+-32577106j, 
-4445393+4570152j, 30259793+7339094j, -20576555+-8211303j, -11131012+-28598803j, 19160377+51984j, -3214042+11576552j, 17621755+-16787558j, 20699909+22836583j, -32686977+379078j, 11098914+-8716268j, -3608224+9818180j, -12869505+11720604j, -6374180+4580436j, -8932260+20010064j, 13757985+-7485274j, 24996620+-30487703j, 
4395923+26050995j, -20706845+54653191j, 21749456+-2646576j, 956450+-2079536j, 13230764+42297761j, -18602673+8932665j, -10850407+447269j, 22066576+-5611503j, 23881158+-4688378j, 47682111+7936300j, 37006720+-21293230j, -8768585+38928492j, -8145750+-5695518j, -38890520+11588555j, -2133905+-3387170j, -30712538+-9601556j, 
-5834138+-27069922j, -39949029+-13354589j, 48484532+19776041j, -2577045+-10532831j, -6644245+-16933582j, 2409631+-29781168j, -16559455+-2525083j, -16950076+1867016j, -4955388+14326853j, 23052924+5230797j, 761278+-47215410j, -14017518+10129161j, 27237690+26539014j, 8689110+6524591j, 13029137+-12608560j, -34141927+10788928j, 
-7420927+14997865j, -37278642+-2250188j, -25843430+33184174j, -12201994+-2168596j, -8819003+6116794j, -8726019+-42674666j, -11135501+21161369j, 17968818+870405j, -12081040+28492964j, -34443832+23484894j, 26003997+3513887j, 3928128+5605567j, -4297390+-1249418j, 6171497+35454578j, -8396925+-14845591j, 890340+3174846j, 
13983328+23821548j, 54358052+-33202384j, -5467031+-4635197j, -17694284+-25670787j, -2320707+31049871j, 36664441+-20930313j, 27321528+-21021297j, 17028696+1963864j, -341400+-29487010j, -2508845+-5261708j, -22263106+7165823j, -4982106+-13376804j, 28603170+5500093j, -4326493+5099288j, 9391723+-8090499j, 11499233+-13198038j, 
12772487+20513033j, -13123564+5892371j, -10103534+3394773j, 236067+5087077j, -35416726+45623364j, 2528691+451447j, -12890000+-8242701j, 13698407+-13854133j, 6806428+-20564315j, 2061335+1126213j, 16283561+-2772082j, -16238074+-9845576j, 20196103+-7046110j, 10177961+11377334j, -13549245+21132321j, -34995922+-19314430j, 
2244894+36119504j, -20408168+7875297j, -11809447+14032254j, 9640800+-5041388j, -27161971+-11835540j, 12251206+-18685655j, -4706858+-8877484j, -9115776+-31192970j, -1448530+16659907j, 3729298+14855138j, 8069262+23822369j, -24164545+34571551j, -25930910+34606967j, -46950640+-1889279j, 36097434+-2809348j, -25176195+-20663247j, 
11179735+-18688178j, -1061361+-8142644j, 25961932+-3710723j, -21510502+13620463j, -13013946+-22693705j, -29034597+10765893j, -8928923+-11346974j, -9807218+-50880451j, -17016898+14961115j, -11139819+-9664397j, -45457435+-33456127j, -11265272+-12744816j, -2459622+3045127j, -12652387+-29888426j, 16476162+25778752j, 4392302+8068628j, 
2187393+17965486j, 9448621+-18281851j, 3472427+56538633j, -15518002+-9195865j, 59555650+31270782j, 20461601+-14363087j, 12932212+-7138399j, 47550838+-34457560j, -5477479+-1766048j, -7668258+29955413j, 34877702+-44913849j, 30288641+13634064j, -50247879+4522109j, 5627766+15823308j, 42734621+-18302373j, 19351095+-40578659j, 
-53336428+-27088027j, 12291150+76601977j, -11077902+-35359525j, 35743572+-21771028j, 13735126+-28418513j, 16491738+42031581j, 32825312+-6559924j, -961288+46259186j, 19835632+-21472999j, -3240490+-26500298j, -8417369+-2937110j, -25510882+-26676033j, -17620198+-18233713j, 4216180+9487103j, -14242548+40375679j, 34542242+1917400j, 
23089136+-24014194j, 23416738+-57422835j, 13134594+60109939j, -9721761+16110838j, 3922036+-31229471j, -26304487+-17503629j, 35011290+-25880565j, 12479096+-45018407j, 6260908+-7145540j, 46462425+32131861j, -14030276+-32328480j, -37501507+-34447718j, -30503908+37996969j, 49875750+-10558550j, 2767132+-30282541j, 21633583+-22707352j, 
18434839+26580061j, 23967693+18682738j, 646378+-10155593j, -6530937+-118669j, 14415228+47390211j, -5071359+-6113187j, 9978904+14107636j, -1173948+4367041j, -4799102+-22691564j, -24421534+43333953j, 129677+46255304j, -24676800+-5811203j, -18507188+2216299j, -5980360+3641010j, 23024430+2443985j, 12247597+-9274782j, 
-7680370+20767634j, 2824241+4056849j, 3550890+-41494992j, 10848527+34072710j, 6650616+-4932578j, -146437+-3083010j, 19747855+15222431j, -40950095+27508372j, -3585530+8519367j, -2410983+47400164j, 4039767+18997018j, -34595723+24271959j, 34525006+-20623523j, 17032247+1915991j, -9616949+9351434j, -11347286+21073118j, 
28892168+-18281980j, 37792172+2000104j, -34704913+8927309j, -25932856+-3838057j, -4453221+22981566j, -16977614+24542258j, -13349417+-22265149j, 13951657+-26004644j, -8232614+-25704994j, 9589509+-30978940j, -23053318+27371250j, -13282913+-15529097j, -5127172+-765438j, 16565993+-21125887j, -21499682+27947467j, -26897990+-12969793j, 
-21863151+21723714j, 3904670+-21773802j, -29056002+4488528j, 7139869+13844201j, -21052604+32425959j, 17116331+-19204655j, 10055487+8257452j, -353074+-6529720j, 28745747+28853155j, 28992990+48150768j, 18915738+-4796417j, 2139829+42191218j, 14282454+926085j, 51061806+-43425335j, 11880157+-48195230j, -33196121+-6592168j, 
-15974724+32964884j, -9951002+-7404031j, -1855880+-31262545j, 35134865+15778751j, 23980116+-1525662j, 1533503+-7470770j, 5957587+-45080987j, 6434716+53791348j, -13756026+-26342215j, 41599042+-15051333j, 35681721+-13641834j, -730671+20577384j, 37551969+-34730369j, 19218253+8398901j, -33453231+4293436j, -11838869+5331940j, 
-23353333+-30075123j, -45001200+-13729317j, 37000209+-10831644j, 6336138+1169270j, 32675008+-16464265j, 4611146+-5780128j, -8717312+-26868168j, -829113+-15319959j, -23856301+-29535253j, 36099526+-55438986j, -45415438+-26830099j, -8820831+5833834j, 5905604+11282800j, -7886304+-39567475j, -22237213+17062800j, -25715845+6190337j, 
31377962+-51394954j, -36821622+-47900381j, 3355385+6293820j, -11355196+3107212j, -11553429+25599120j, -31467700+-12888697j, -31518966+6593502j, 42525634+2167589j, 9465559+-34727944j, 26033101+4062616j, 365679+-23179231j, -5220487+-47551926j, -16711096+-26792815j, -4513609+-27454285j, -14288265+-25747928j, 8626294+15061536j, 
8891036+-49908483j, -24371133+-9366799j, 11782361+42830373j, -9970658+-14875453j, -13342465+-36643130j, -17946838+-13122318j, 1372748+-14507580j, 12475682+7424621j, 897302+-12636211j, 5051841+5982586j, 20273704+-10833634j, -58017225+-39221313j, -5704702+45995251j, 15061651+41942592j, -54787181+-4002283j, -1629235+-16578140j, 
-40558338+26684313j, -2933303+26837799j, -17487675+-15671363j, 17295560+-5702723j, -51753526+25934695j, 31043383+-6924701j, 15882799+10567836j, 13634335+-18868656j, 33368966+12152230j, -15190758+-11787307j, -16125572+-9722259j, 13148696+-8861081j, 20674134+14489448j, 53752707+25827892j, -11303184+-17994192j, 484332+-21105338j, 
18822753+4434880j, 24991948+-12279488j, -34378109+21617066j, 15647986+-4373806j, -43004543+-21057653j, 9023574+-8514944j, 7119464+-1536739j, -10549517+35059984j, 37953179+20531335j, -30931928+49792423j, 47509750+38197008j, -3763157+-45250483j, -13046584+5482927j, -11413377+14931630j, 12954793+-11320199j, 22329114+-1759121j, 
12100267+-15282152j, -32380954+543002j, 10904224+-17285331j, 18633140+-5025397j, -7649914+-42051968j, -12695723+14161537j, -31791322+-9043795j, 13973706+-698010j, -18761646+-11961475j, 37613722+-28846881j, 10190310+-52471755j, -9420255+-19048029j, 9786606+197276j, -31567350+-1741624j, -19597624+13688567j, -23423514+10001034j, 
19363786+12523881j, -35844228+-9279692j, 8790779+17816987j, 30609707+-5329107j, -14455141+-28880927j, 11491185+-17515493j, 3672191+-27046850j, -29059539+11078445j, 39371709+33780646j, 14144417+-6384682j, 1542281+-30079400j, 7119969+-25751680j, 36085288+-1516205j, 55413956+785002j, -49222284+-12832955j, -44828286+-15455785j, 
8182792+-18194858j, 23215059+-11990296j, -15022752+10233924j, -11191784+10056093j, 80420806+5977586j, 14928317+30371871j, 26819829+20931828j, -27742649+2129598j, -40691142+1841562j, -26507374+-5662798j, -306845+37796717j, -10810174+-3650016j, -24074265+-26858108j, -41817135+-23030004j, 2464214+27518862j, 17288326+16257514j, 
6541963+-535563j, 18686617+-27353438j, 15198310+8223854j, -10507509+8257224j, 49274013+6180583j, -19050321+1543958j, 31096184+-24077288j, -17855767+-785916j, -13321432+5117791j, 46784044+-9829492j, -38479728+551398j, 3300549+-31515711j, 40562199+6212318j, 17675512+-7799376j, -29780572+-45070190j, 3256859+-7996177j, 
-4426013+-31899762j, -28998297+-9172071j, 28421994+-4247805j, 23962922+15971944j, 12115491+-11411806j, -21911873+20456708j, -7796983+-30637657j, -17584816+-10075693j, 8189152+-344305j, 28752959+-33024989j, 9438895+-31263299j, 26187870+22970380j, -10388834+-11038468j, 13569046+-32019545j, 462452+4025186j, 9015845+1115532j, 
10512702+19074857j, 14253445+47966954j, -29559022+-50241853j, -8374957+-25008564j, -44291689+8052497j, -24032494+11294757j, -42997613+3209j, 46075095+15220918j, 14500655+-11797252j, -31357196+-37173783j, 17385077+38583143j, 21743489+-11237896j, -2335034+-22100307j, -42570736+-22081583j, 1770239+6389499j, 1403390+17070918j, 
9329849+-35254308j, 1574276+20609189j, 38569615+-43376724j, 10648287+15151467j, -6150332+-47808441j, -27724696+18644473j, -4053344+-11486548j, -13606101+13612837j, -6444548+-3880762j, -13936277+-20316923j, -22978768+-34358031j, 4251944+-3718543j, 1629071+-32699221j, -17146683+15247165j, 18603992+50592404j, 43837405+47841178j, 
-11125891+21246147j, 54034604+-39698184j, -6458668+5626982j, -25417322+-4589402j, 39185297+8975670j, 25533332+-2909827j, 9227817+-15893650j, 12270601+-28219810j, 7555489+-26821982j, -26506162+-9826149j, -5313221+8915139j, 14235233+-4677001j, -8028125+10275433j, -22118279+-6288598j, -1685432+-42371115j, 29702523+-27610823j, 
-24593865+-42695600j, -12842821+-8569012j, 15308198+12586748j, -2796521+10522732j, -11896765+-46335721j, 6634602+1659207j, 21072433+-11541379j, 15794340+23949851j, 5308516+12195045j, 851834+-38910955j, 5991+51417382j, -42946722+-4425928j, -3359942+18270057j, 16160376+6180549j, -28262700+16067111j, 11348188+16838103j, 
8169071+15120447j, -11738138+4919712j, 27620518+36478510j, 13197963+1405864j, 12319182+-20799356j, -8848467+1166087j, -19020270+-9161265j, -6600886+-24993798j, 6365277+24080514j, 23333203+-20014048j, -8380277+-18566047j, 20814364+24244092j, -14818092+13179508j, 31288209+-39046637j, 16601073+2857909j, -26787156+8472398j, 
-24117018+-6618791j, -12171412+-19908989j, -15816805+-5437339j, -19462528+42716971j, 4012797+-21637876j, 1499764+-5251835j, -3291196+31739919j, 4503070+-6841977j, -29517813+21140868j, -37633538+9575934j, 2405763+31377092j, 5992496+1548347j, -22615670+3316115j, -11489512+84555026j, 5674700+-11410829j, 27370307+564759j, 
27508526+-22243432j, -414047+-13538792j, -34349395+7267476j, -25593232+2707706j, 28358167+2937308j, 1139236+8638260j, 15316226+40196995j, 15387318+-18432091j, -21287874+26142099j, -5061673+50813443j, 34064659+-5945316j, -4912031+-21205489j, -34351207+4176385j, -52223309+14418233j, 10864928+-22709797j, 5315913+-19992206j, 
-9849722+9907498j, -9637673+-14663335j, -16395858+31962195j, 22988297+-24866217j, -33467864+-8914798j, 8165782+1919949j, -33306057+-35150762j, 29157310+-5349240j, 2482148+7819042j, -31764355+-22290044j, 28655725+-9512061j, -19998892+9869332j, 3225993+-27021945j, 39952895+-21430452j, -5118746+49880616j, 13117736+-20165588j, 
-8515877+-13315969j, 7607456+512961j, -32607653+33623851j, 13064843+-51534781j, -39603611+-15444140j, 37556552+4624837j, 1997634+-9228926j, -14217970+38673119j, -7435600+15977690j, 1437822+16486182j, 5334308+8903071j, -48614000+-13920851j, 16750335+11081003j, 6999244+-28409948j, 14319181+28628555j, -26210766+-18763617j, 
-30957093+46165522j, 54055025+18315245j, -16799235+-30566879j, -2560490+-6587973j, -28121962+13744559j, 27149372+6389365j, 5357464+26967037j, 30608691+-10602014j, 16743805+-38773306j, -35843306+-6795984j, -25076583+5596013j, 27579621+-5862015j, -15988950+-3575323j, -18007566+-5901347j, 21852409+15019623j, 35796518+7140916j, 
-10992769+11955949j, -13801969+34763672j, 4082835+-9172943j, -6527475+7833627j, 41568625+-4580548j, -20471950+11083499j, 12861370+633989j, 32357779+-15470279j, -15306145+-6953623j, -572187+-32127713j, 1867601+-7918048j, -5891942+5193228j, -8890066+-15488107j, 24359452+12591395j, -41333119+20563867j, 2618046+-4931200j, 
-10135969+12304774j, -4297954+60564399j, -3406948+-62657224j, 2332771+13144611j, -815373+25670432j, -18233559+37649701j, -7132593+12624232j, -3533355+10688625j, -23210439+4429891j, -16260618+20939344j, -36371717+-15770743j, -28501367+-9707739j, 13633970+-40219868j, 15485211+31339733j, 139114+44619441j, -1275577+-11919758j, 
-3585644+1542980j, 4591662+23455561j, 13868180+30634964j, -34581690+7931014j, -20813989+30441229j, -8272790+-11298603j, 10272689+18792655j, -9366613+-8631871j, -3563683+61128774j, 6966475+39940014j, -23270322+-21279805j, -13828617+19088432j, 1065572+-4525026j, -35736024+35391555j, 72508131+-11040383j, -1939751+23910032j, 
-6483667+248198j, 10895950+7515856j, -21622954+-26615094j, 3121744+-741433j, 1439268+-4087629j, -5808677+7278740j, 2674639+-3025498j, 31339447+-795098j, -46909585+24783989j, -9294129+-5057658j, 12922406+-30740214j, -14052659+11256007j, 1850661+-19497733j, -34383905+41975793j, 33249900+5264151j, 43205626+13247475j, 
4632546+11141472j, 5698526+4317563j, 22380668+29813103j, -9052128+-22874706j, 24399914+53708666j, 12214866+-15904216j, 26236667+-8762538j, -4195120+-7377153j, 3708422+233446j, -1328247+6205838j, -10437423+-23254641j, -26401259+4788469j, 28966264+-25032371j, 25392731+-7407023j, 14299911+19464765j, -2288287+-3126485j, 
4418546+-9243725j, 887129+6557248j, -40489603+30528588j, -3929689+-45706213j, -8026790+5156784j, -742131+-23407203j, 3144537+-27756597j, 13141768+24876189j, -457687+15555324j, -24900364+15454242j, 6479093+33227653j, -53744485+-21283145j, -19065251+-15762184j, -13391656+-20193860j, 5355877+7433968j, 14416419+-17872742j, 
-36934945+-28868035j, -30499753+-36765877j, -13734736+29351471j, 25539709+15627735j, -44554951+-49358999j, 31879598+-16825240j, 12051055+4334423j, 390537+-17779857j, -24773146+1342696j, -9710454+-12159820j, 61355774+-7494706j, -39781053+-6975836j, 27948150+40289918j, 40963617+-1000156j, -32667233+36611554j, -20357249+14092679j, 
25723252+-71061979j, 17397197+-16364524j, -29389109+-3154101j, -19724635+-8237313j, 55477460+-58926119j, 19357139+6118157j, 25760705+965121j, 2485131+18199475j, -29522898+-14821657j, 31688901+-40447606j, -8860839+11553143j, 1283394+-42450583j, -17452593+54492554j, -66058414+39138279j, -40899549+-26549995j, -16415927+23625831j, 
-14935920+-10468362j, 5608916+10814680j, 6563721+-10575135j, -13413432+2358006j, -20832401+-23619643j, -17501346+-5430652j, -6008352+-151578j, -6723416+7379515j, -4000531+-9608451j, -4373633+18609183j, 703548+-11182008j, 15149066+-17607701j, 8706350+32208730j, -13690186+14721952j, 11954010+-9315655j, -1295786+3813963j, 
-1867884+-24033375j, -206667+-31417997j, -30292345+7255269j, -3999254+25967379j, -20795496+-10582754j, 21362173+7948482j, 8646681+25358083j, 1077+-3832361j, -8974806+20049132j, 8748768+35719725j, 27599250+25789200j, -9096152+-5730730j, 2754886+30598286j, 25657537+28989733j, 2311050+-18888605j, -19867762+-15603804j, 
4509399+14469227j, 29244414+30205933j, -5232217+-45828760j, -20943286+-240705j, -11040401+-20348461j, -16258861+-6058175j, -1673262+-2608014j, 2431858+24528576j, 16774245+749528j, -53877702+-611212j, -3688992+48913122j, 10988479+1919453j, -9263097+-37286939j, -42134943+4283449j, 19341725+20522677j, 36205689+27121132j, 
32834581+17531539j, -13040551+-9860661j, -12458377+27738166j, 2817748+-914352j, -8504655+42715162j, -21912227+-4295282j, -10400966+-17081435j, -1939814+-23302826j, 2289048+-29336529j, 792411+-4158965j, -9962264+-9300725j, -61065+-16485066j, -5919562+-28594474j, -14879147+-29287232j, -9814525+35780311j, -5006880+453351j, 
-33062220+-27504643j, -23772597+23912078j, 4954196+-5862486j, 20621932+-1535738j, -38615041+13324921j, -19012438+6457897j, -7563395+16055181j, -19255080+17997594j, 33833490+507366j, -22667211+6877102j, -15129237+10152975j, 5327376+-41026227j, 3451620+6505867j, 28092778+3551691j, -13492152+-33520740j, 38686022+3517797j, 
18145852+8014427j, 53172113+-47607936j, 2249630+-16866686j, -20978322+12115965j, 2716908+-35552923j, 28869035+-11848569j, 24634047+16032376j, 18493252+-6547728j, 15530040+-11594264j, -11405039+49540060j, -3771091+-4901404j, 27417327+-42458559j, -17827301+32794555j, 15636386+23747653j, 23390844+-51315568j, 21271675+-26088193j, 
-14407691+29611102j, -13559304+27217084j, 12714996+1740712j, 1856698+-1668314j, -9257994+53583017j, -261153+12795288j, -8844688+13051031j, 7985028+11576374j, 19492169+25055484j, -7247793+18853686j, -6916974+28081978j, -45241319+22610916j, -9692378+-31118771j, 2852371+-7955333j, 30424089+1579201j, -4756617+-13824122j, 
-2699576+-46860977j, 5010087+-5265257j, 29693224+6910548j, -28705152+-9869537j, -35540843+24075722j, -5246378+31209595j, -23984051+7049250j, 19149129+-26598269j, -295433+-15317193j, -20923399+-19774334j, -42415846+-5912849j, -19997113+1514198j, -25554870+2417981j, -18145569+-32574030j, 30824805+32625998j, 21337332+-2696495j, 
3852816+-1427122j, 13495592+-569184j, 19756695+17985393j, -36386558+-18880876j, -18466252+36626406j, -30532303+18956594j, 6869960+-16154100j, 18387224+-18490134j, -8616258+-17617693j, 43397570+5471458j, -46920978+12458635j, -35186532+-15584358j, 9065163+16069036j, 4171945+-49961270j, 5507209+10386629j, -11777896+-43832742j, 
-6253007+-13769485j, 23177952+-58770749j, -13297033+3368648j, -16632026+35979270j, 33835824+-15176557j, 2107767+10670923j, 1976565+11834151j, 727334+-46188796j, 5820345+-8830519j, -12660202+9472691j, 5540263+24775961j, 9323899+-30742553j, -12440198+14790544j, 13895499+-17173270j, -18273510+-46375821j, 13403081+-19429232j, 
13470323+-48159941j, -19238267+-29680397j, 13912215+33819627j, 372607+2275080j, 14648617+22702592j, -34432792+18857544j, -29805528+-24224514j, -96375+13223532j, -8570232+2772335j, 23776460+-18412522j, -21377605+-313015j, -8565061+-6519523j, -12491705+-23536882j, 37959050+-28048170j, -1823486+10671043j, 4877196+-3706361j, 
-13504518+-5657285j, 40162591+5511586j, -10337976+12871697j, -13257435+-27123389j, -32330484+-10813554j, 15714008+9301505j, 7570887+1984842j, 4709928+8511809j, -1158127+-21014935j, -10183538+-14473048j, -1865186+3644929j, -19612081+-38427853j, 11634294+27375710j, -5597676+-4672097j, 4542308+3395628j, -1956671+1571977j, 
-2564664+-47457460j, -31476208+12979830j, -19605239+23305140j, -6766710+-2778853j, -5269790+-31174832j, -4122686+1624569j, -847934+48173072j, -7830858+-1876505j, -11502335+52847677j, -852545+39715696j, 14655506+-4133853j, -24965328+-19524492j, -22637953+23757719j, -33984079+1887572j, -306332+-15039655j, -10802885+14203396j, 
35236211+-9459246j, 28289498+6049453j, -6888138+33558338j, -793591+-33696589j, -34951388+8858641j, -3076461+-16365586j, -9009170+-23560700j, 5561590+27358561j, 18158676+11884651j, -20977992+17738474j, 9474676+-13175083j, -61972063+-4397953j, 4489822+-37352578j, 41757767+-17651401j, 13231289+51461790j, -6742495+20667245j, 
-43380818+-3679217j, -975375+7979430j, 16761061+-3289272j, -2657054+18650123j, -38891273+41887990j, 1824210+21498948j, -136084+19652336j, 4441723+-14141556j, 16267840+18028162j, -8316892+16548560j, -14207318+-23992046j, -987575+38617357j, -18486106+-13888240j, -7664645+-2873427j, 55423494+9609728j, 33009700+1592828j, 
7311407+1702782j, -9097849+27786965j, -15723094+-20899675j, 14662540+-35598j, 16886220+5110273j, -14267338+39017143j, -37121570+3476375j, -18775063+5754361j, -18298669+-11600335j, -30586324+-33608783j, 22449053+13968503j, 18883037+-9695914j, 18030914+-26225126j, -32821536+-25612577j, -20286497+38839302j, -13415385+20310160j, 
3024568+-53978092j, -13321463+-11683412j, -9892433+-47916894j, -4339321+21564636j, -5237186+-56330262j, -10048060+18560459j, -6828745+792586j, 698348+18760349j, 3536413+-11643172j, -2891695+-51006414j, 2145082+29224074j, 24742234+-53505178j, 12693872+4344780j, -27511131+24535200j, -62512153+-24344927j, 9125235+19803251j, 
7672830+34815113j, 31900170+17733133j, -23437217+-42853145j, 17016343+-17546584j, 8408318+10291280j, -17259339+25156880j, 11377648+385960j, 17939517+24957235j, -14600927+-30755902j, -9956463+68150557j, -10225629+7273619j, -16382700+-55284970j, -24304988+-8344064j, 27941582+2448792j, 7037833+8851444j, 42566375+-77132640j, 
7846844+23828770j, 21227145+-35893236j, 21488905+8954550j, 5686022+19454641j, 41731641+-27401659j, 16518005+15806969j, 32375710+-22126645j, -12958566+-9255679j, 16066517+-12443034j, 59162201+9164147j, 33728996+521806j, 35603055+17701846j, 1561422+38781559j, -6062076+-10774399j, -10268909+-39175220j, -19018105+-40986780j, 
30816042+10258565j, 1153920+-18498636j, 15438542+-19467900j, -27193483+-4723053j, -866678+-34243054j, -27946085+-2807591j, -21721192+-16434805j, 34351245+-9105098j, -24409329+35392307j, 14947973+7375427j, -26259527+-40963016j, 27433871+-1507373j, 10971109+-17800811j, 6531870+2474432j, 20947735+-20450070j, 4590659+-21776372j, 
25083712+9848004j, 3218750+35381405j, -27275171+-37244955j, 12590866+-42595156j, 27368233+9606038j, 250476+27600241j, -21769004+-1032592j, 28172634+42315749j, 10073935+-18431342j, 23819429+-22780541j, -5927887+20970615j, -19856526+-29736270j, -7642968+-36806279j, -51907109+-43687298j, -40587307+-2336860j, -16941674+-8289729j, 
-16735504+-5886642j, -36173811+19185304j, 51276916+-7470858j, -14215146+8943254j, -10841288+21970594j, -22879168+-11034776j, -17156488+26478333j, -11005880+-6141191j, -1973434+-15628268j, -6439180+6905985j, -36383275+-30879344j, -8184239+10462549j, -8475093+-16459679j, -34748972+7303816j, 27082977+6516756j, 14561708+28506212j, 
27163247+2174470j, 6281994+1827247j, -2201553+-19084034j, -414258+2551779j, 38892899+-20142120j, 12433218+-17764850j, 27294629+-1496841j, 1069514+-1467838j, 15803226+11878066j, 1045117+31323790j, -17033247+11917345j, -1715253+-11104232j, -9393410+7887127j, 19856946+8696495j, -19385111+-12082037j, -8102954+-16265469j, 
5003183+44226500j, 39903028+8057730j, -25613105+39088266j, 17057760+-21699121j, 29452906+-3084148j, 15059614+-3155945j, 22060081+-4140007j, -14405420+18566268j, 13320719+-9755042j, 17948049+39373280j, 916746+7169438j, 8959206+4944900j, -35852732+19547899j, -18771567+-33183786j, 14257190+-177503j, -620192+-16224267j, 
32914826+7054903j, 1154843+-36382406j, 34061114+-2069865j, -19221438+19636261j, 16141903+14427513j, -26342252+-35156860j, 46449169+-50947569j, 26595554+-3076800j, 36384019+13892589j, 65214305+-4314499j, 15478516+-8716731j, -24301104+12015756j, 35366401+5889722j, 41404760+10490251j, -47901174+-74063149j, -8754415+-14433793j, 
44420307+28426551j, -11512997+5488259j, -10250419+10156137j, -18734982+-2265825j, 25914616+-1701491j, -41083819+-31227274j, 16810968+21327250j, 10089738+-20680589j, -47843807+3404406j, -22231611+23921844j, 18221867+-10512022j, 1191456+-38116717j, 13189792+-6267216j, 11648817+47708133j, -35618738+5374524j, 9027793+-7214612j, 
-14382111+-27368900j, -239133+-46802286j, -30676181+53365548j, -5899224+11811831j, -16164010+13161079j, -753339+11017684j, -5765769+-6948140j, 22896703+-49628517j, 17321234+-13153641j, -25736601+-6407321j, 45900419+12842875j, -44758110+-23030504j, -8132700+14000859j, 27613100+-52502384j, -50665662+7516081j, 3095487+-16309665j, 
-52332075+76798630j, 27933817+16430650j, 12548870+13603965j, 19004468+-6852505j, -40978709+4343529j, 27559233+-9678575j, 27010391+-21198510j, -9433432+-5029726j, 5447911+34489851j, 6229122+52862293j, -22001311+-53231284j, 22605726+41690312j, 6277478+40839079j, 7050534+44755192j, 69590082+-15219259j, 29783291+-51240749j, 
12436315+7862567j, -6269080+38764239j, -3773503+-10539821j, -13372876+-27813218j, -27843017+13922098j, 3448901+8644328j, -40952502+24343291j, 16193425+6504226j, 14695013+11250243j, -13587603+-20245605j, 18397310+32972013j, 8863074+21117019j, -6001268+-3725038j, -54362769+-26202299j, 17532454+3935281j, -30082500+19784246j, 
-5072635+-44432503j, -214118+-42728737j, -21167481+22217050j, -8446134+-16140409j, 22739551+-53280142j, 26703893+14111124j, 1460775+15166531j, 4871745+16837201j, -31636913+22063617j, 25292771+8244289j, 4452845+-33961591j, 20200043+-9598444j, -26693817+9781873j, -65031410+-15932802j, 36231778+-2578596j, 6027828+4209674j, 
7381500+951618j, -9728904+17942233j, 52232890+-2640213j, -16478276+-22199156j, 26771538+15552955j, -17064983+8114953j, -26565055+-6110295j, -8060800+-9192385j, 2507836+15655378j, 42712060+-34414850j, -45908890+-15972235j, 45875661+44071252j, -2712824+-9300732j, -5845981+-91385261j, 40316970+-9965784j, -36712350+8576297j, 
